exposures,theta,conversions
"[85, 29, 377]","[0.12918941747050627, 0.001801980770162238, 0.11549028650892236]","[7, 0, 48]"
"[86, 29, 377]","[0.1031082159566609, 0.0012416471554218004, 0.11648746973485949]","[7, 0, 48]"
"[86, 29, 378]","[0.09731712790078752, 0.06473047773442618, 0.10892266806278625]","[7, 0, 48]"
"[86, 29, 379]","[0.06296260893743177, 0.04587435561998805, 0.12362627450264138]","[7, 0, 48]"
"[86, 29, 380]","[0.06339512150185264, 0.027508715907147038, 0.14427832624973672]","[7, 0, 48]"
"[86, 29, 381]","[0.08231958847771279, 0.01664761637182928, 0.10920740627929501]","[7, 0, 48]"
"[86, 29, 382]","[0.06974637865518964, 0.06210988746568853, 0.09632905151722918]","[7, 0, 48]"
"[86, 29, 383]","[0.0975973353154994, 0.04082293931297012, 0.10895053679210205]","[7, 0, 48]"
"[86, 29, 384]","[0.09037424136200618, 0.03400861696898042, 0.14058679989159167]","[7, 0, 48]"
"[86, 29, 385]","[0.0780233797093978, 0.06878490030820182, 0.12983386691681195]","[7, 0, 48]"
"[86, 29, 386]","[0.07857008822575957, 0.09089925809278455, 0.09709925544336256]","[7, 0, 48]"
"[86, 29, 387]","[0.05492553388305071, 0.021846183090432424, 0.1046854465702504]","[7, 0, 48]"
"[86, 29, 388]","[0.05575788365040728, 0.02237443149756748, 0.1253350923694552]","[7, 0, 49]"
"[86, 29, 389]","[0.040533319323719036, 0.026380112850447338, 0.10256851850305329]","[7, 0, 49]"
"[86, 29, 390]","[0.07410011573182736, 0.015789987797692834, 0.11833256876421344]","[7, 0, 49]"
"[86, 29, 391]","[0.09230683623101862, 0.13406152325789739, 0.09585360952619858]","[7, 0, 49]"
"[86, 30, 391]","[0.07488468942968415, 0.004289653958880525, 0.098945904171241]","[7, 0, 49]"
"[86, 30, 392]","[0.05039874990240649, 0.005359698204537572, 0.1382111955534657]","[7, 0, 50]"
"[86, 30, 393]","[0.11240930607911902, 0.007581937259227466, 0.1212407263115028]","[7, 0, 50]"
"[86, 30, 394]","[0.060311910562801566, 0.01797846260219033, 0.09522083812350947]","[7, 0, 50]"
"[86, 30, 395]","[0.11311809144473985, 0.03372153540271129, 0.128131610666022]","[7, 0, 50]"
"[86, 30, 396]","[0.07891140062810134, 0.04989666704175684, 0.11629877842246672]","[7, 0, 50]"
"[86, 30, 397]","[0.10459285566857468, 0.043670089628900344, 0.09838585988965802]","[7, 0, 51]"
"[87, 30, 397]","[0.06910463981702593, 0.021385451203135578, 0.10859328161446093]","[7, 0, 51]"
"[87, 30, 398]","[0.07989400895157743, 0.09599650146443797, 0.08785028172177506]","[7, 0, 52]"
"[87, 31, 398]","[0.07317815371220623, 0.0939571989718929, 0.0838088992065835]","[7, 0, 52]"
"[87, 32, 398]","[0.06323458617326529, 0.04720352168194572, 0.13567407782495944]","[7, 1, 52]"
"[87, 32, 399]","[0.054160766098136845, 0.05212565414639008, 0.11057742468953695]","[7, 1, 52]"
"[87, 32, 400]","[0.07951807129816875, 0.05923958704457805, 0.10187392489537853]","[7, 1, 52]"
"[87, 32, 401]","[0.05518460530823805, 0.017477687346599446, 0.12023547712780755]","[7, 1, 52]"
"[87, 32, 402]","[0.10162682924342421, 0.17126667547810717, 0.11993770677088815]","[7, 1, 52]"
"[87, 33, 402]","[0.07905209510303583, 0.03734276363261464, 0.11226613009032592]","[7, 2, 52]"
"[87, 33, 403]","[0.09353561996116048, 0.0817214749631066, 0.09722565808242795]","[7, 2, 52]"
"[87, 33, 404]","[0.0663172009798287, 0.08269859368348001, 0.12950102673084168]","[7, 2, 52]"
"[87, 33, 405]","[0.03623436155604347, 0.0787299902154026, 0.08594538358736031]","[7, 2, 52]"
"[87, 33, 406]","[0.07372120939497141, 0.12246630632285188, 0.13408978472401603]","[7, 2, 52]"
"[87, 33, 407]","[0.07060642442117128, 0.10079265430550062, 0.13723422037087757]","[7, 2, 53]"
"[87, 33, 408]","[0.10718643937168387, 0.08312155772115083, 0.11268900421030571]","[7, 2, 53]"
"[87, 33, 409]","[0.09098588936147368, 0.048516748298718736, 0.1276841766055398]","[7, 2, 54]"
"[87, 33, 410]","[0.06395477055148913, 0.04969581340212651, 0.15715708987316732]","[7, 2, 54]"
"[87, 33, 411]","[0.10225626062108674, 0.144573113745539, 0.13013952349608965]","[7, 2, 54]"
"[87, 34, 411]","[0.10119538971610535, 0.12162278489246725, 0.1095747914231784]","[7, 3, 54]"
"[87, 35, 411]","[0.07112948675963261, 0.04505278193710387, 0.13536602470868075]","[7, 3, 54]"
"[87, 35, 412]","[0.07491012722535868, 0.10789372317091889, 0.10839083441535322]","[7, 3, 54]"
"[87, 35, 413]","[0.04368987712331596, 0.05877060977646941, 0.11996793252149758]","[7, 3, 54]"
"[87, 35, 414]","[0.06966502586489878, 0.08987272048699947, 0.15497188648520896]","[7, 3, 54]"
"[87, 35, 415]","[0.09697678970519279, 0.16339121432165493, 0.12309546429548245]","[7, 3, 54]"
"[87, 36, 415]","[0.10201420995583076, 0.1261104452988966, 0.13309273520798867]","[7, 3, 54]"
"[87, 36, 416]","[0.07332167403312148, 0.13896294548570928, 0.14609700603238396]","[7, 3, 54]"
"[87, 36, 417]","[0.05246203489369717, 0.11067572988019947, 0.09440811468910354]","[7, 3, 55]"
"[87, 37, 417]","[0.12616508792454575, 0.02210711992409051, 0.12194067975644661]","[7, 3, 55]"
"[88, 37, 417]","[0.08151947992516702, 0.12698439342782888, 0.14114664475974256]","[7, 3, 55]"
"[88, 37, 418]","[0.11686613897483356, 0.07039483463433148, 0.12300831390285769]","[7, 3, 55]"
"[88, 37, 419]","[0.05435836990939986, 0.09966843283273699, 0.09297648410131788]","[7, 3, 56]"
"[88, 38, 419]","[0.08718089147826137, 0.02711159034821858, 0.1138459573325989]","[7, 3, 56]"
"[88, 38, 420]","[0.11752800233875836, 0.05925083819486669, 0.10246895638884465]","[7, 3, 56]"
"[89, 38, 420]","[0.05944455831992785, 0.1143123231783455, 0.08699900424809358]","[7, 3, 56]"
"[89, 39, 420]","[0.09735956613571828, 0.09847080469938685, 0.1610405393130733]","[7, 3, 56]"
"[89, 39, 421]","[0.09234252818330088, 0.04676996739889125, 0.16147986111227264]","[7, 3, 56]"
"[89, 39, 422]","[0.1690144065436476, 0.06046472855473642, 0.10681359867065827]","[7, 3, 56]"
"[90, 39, 422]","[0.1435080399634391, 0.16679665753379955, 0.10943919708014446]","[7, 3, 56]"
"[90, 40, 422]","[0.05662724357090364, 0.1300626048929742, 0.11715654855188476]","[7, 4, 56]"
"[90, 41, 422]","[0.06742135582052451, 0.13464248981450433, 0.0904941354651715]","[7, 4, 56]"
"[90, 42, 422]","[0.05735855599755951, 0.08171682023903694, 0.15389465234039076]","[7, 4, 56]"
"[90, 42, 423]","[0.059323546224885296, 0.13243894280885052, 0.13396719480823588]","[7, 4, 56]"
"[90, 42, 424]","[0.06869831599221278, 0.02554736772831778, 0.10658127962472395]","[7, 4, 56]"
"[90, 42, 425]","[0.10092099316818923, 0.10383483220010463, 0.11994930631147452]","[7, 4, 56]"
"[90, 42, 426]","[0.05332097795375456, 0.09230346541520237, 0.12210332814734724]","[7, 4, 56]"
"[90, 42, 427]","[0.13378446868637156, 0.1341809593900106, 0.11556961340137219]","[7, 4, 56]"
"[90, 43, 427]","[0.0771035970424607, 0.07565238260877497, 0.11116819951229276]","[7, 4, 56]"
"[90, 43, 428]","[0.08722149211478127, 0.07541645663440336, 0.10624543508167889]","[7, 4, 56]"
"[90, 43, 429]","[0.10934665295527035, 0.10559980099491789, 0.12272785941486108]","[7, 4, 56]"
"[90, 43, 430]","[0.09883632368853615, 0.11048080961172879, 0.1180154421961153]","[7, 4, 56]"
"[90, 43, 431]","[0.09851136615850943, 0.10805293423063346, 0.0949320716625421]","[7, 4, 56]"
"[90, 44, 431]","[0.038777889402404175, 0.11626148630723414, 0.12851973098708222]","[7, 4, 56]"
"[90, 44, 432]","[0.11656725627087723, 0.16393147765144142, 0.09094808100032864]","[7, 4, 57]"
"[90, 45, 432]","[0.04648706156330827, 0.0685927151553428, 0.12911683441020888]","[7, 4, 57]"
"[90, 45, 433]","[0.03550920354326701, 0.07149831593033276, 0.10016365315678151]","[7, 4, 57]"
"[90, 45, 434]","[0.10057827688031912, 0.07412485400113732, 0.11652308136647141]","[7, 4, 57]"
"[90, 45, 435]","[0.10886022726508045, 0.05387647148558504, 0.11380260759771238]","[7, 4, 57]"
"[90, 45, 436]","[0.04756913375776617, 0.07990389037861759, 0.13050969064234577]","[7, 4, 57]"
"[90, 45, 437]","[0.029375756199854924, 0.1354558175076221, 0.10519826724144615]","[7, 4, 57]"
"[90, 46, 437]","[0.08560911024989938, 0.06631001806654838, 0.12578076582371966]","[7, 4, 57]"
"[90, 46, 438]","[0.09486799005496253, 0.0899741358027006, 0.11202098412223423]","[7, 4, 57]"
"[90, 46, 439]","[0.07001333053786969, 0.11322447140404684, 0.110251206590754]","[7, 4, 57]"
"[90, 47, 439]","[0.0817779266446391, 0.037607675018505364, 0.11005553506574851]","[7, 4, 57]"
"[90, 47, 440]","[0.09388338853673954, 0.08020495675529798, 0.14055308650788625]","[7, 4, 57]"
"[90, 47, 441]","[0.04874566347014594, 0.04542542512955461, 0.12228870202350535]","[7, 4, 57]"
"[90, 47, 442]","[0.06000272111243073, 0.11726745413699419, 0.12554853073825095]","[7, 4, 57]"
"[90, 47, 443]","[0.10841357730215834, 0.15122741621300306, 0.1387174720596522]","[7, 4, 58]"
"[90, 48, 443]","[0.06978991684109542, 0.06975131390338889, 0.11639395370149835]","[7, 4, 58]"
"[90, 48, 444]","[0.09803163525548704, 0.14852988705883333, 0.1213953039552742]","[7, 4, 58]"
"[90, 49, 444]","[0.10435412559179366, 0.08562727558807214, 0.1275073498840413]","[7, 4, 58]"
"[90, 49, 445]","[0.09541602284252329, 0.041505875677877634, 0.1500419179770448]","[7, 4, 58]"
"[90, 49, 446]","[0.08580386937595307, 0.04211707912912637, 0.0979627416252169]","[7, 4, 58]"
"[90, 49, 447]","[0.07043125485337891, 0.06863044417829267, 0.12194236311241034]","[7, 4, 59]"
"[90, 49, 448]","[0.09400748637154391, 0.11926775805994035, 0.10644143135337623]","[7, 4, 59]"
"[90, 50, 448]","[0.09709980719303268, 0.10022572418827931, 0.14429960231330868]","[7, 4, 59]"
"[90, 50, 449]","[0.08363387635513221, 0.10609150348916392, 0.11663765440797502]","[7, 4, 60]"
"[90, 50, 450]","[0.1046324964715343, 0.04513312597622717, 0.10790968149360922]","[7, 4, 61]"
"[90, 50, 451]","[0.06948299364997315, 0.07223968883940711, 0.11604667703778544]","[7, 4, 61]"
"[90, 50, 452]","[0.07699953320598897, 0.08659749902146309, 0.11445395528883563]","[7, 4, 61]"
"[90, 50, 453]","[0.09128746099863717, 0.02112092774091978, 0.1346474324575381]","[7, 4, 61]"
"[90, 50, 454]","[0.09552571727398719, 0.0887309015109796, 0.15614095059888194]","[7, 4, 61]"
"[90, 50, 455]","[0.03311510915476165, 0.06355254923669712, 0.11640817778731453]","[7, 4, 61]"
"[90, 50, 456]","[0.06829033513849556, 0.13601305250542667, 0.11878017732919204]","[7, 4, 61]"
"[90, 51, 456]","[0.08624498818121239, 0.07130323606590937, 0.12602794425927238]","[7, 4, 61]"
"[90, 51, 457]","[0.10307120141561532, 0.07289319715609063, 0.11495511499297188]","[7, 4, 61]"
"[90, 51, 458]","[0.12621520947977935, 0.07711059497681047, 0.11355470721274773]","[7, 4, 61]"
"[91, 51, 458]","[0.07687522963079418, 0.0884810232468547, 0.13058582155357898]","[7, 4, 61]"
"[91, 51, 459]","[0.08143357242452486, 0.10257556494637075, 0.16659330931355962]","[7, 4, 61]"
"[91, 51, 460]","[0.14139637191534887, 0.06079398777117304, 0.13291317381426965]","[7, 4, 62]"
"[92, 51, 460]","[0.07663814095358325, 0.11643769644075308, 0.0987963953527608]","[7, 4, 62]"
"[92, 52, 460]","[0.06666224125261272, 0.06961036588887044, 0.11643571140401704]","[7, 4, 62]"
"[92, 52, 461]","[0.042873967191822425, 0.06268945714800937, 0.12079249957156668]","[7, 4, 62]"
"[92, 52, 462]","[0.0931544545404696, 0.1383337595638113, 0.12819379344208268]","[7, 4, 62]"
"[92, 53, 462]","[0.049089173402899165, 0.06651156741767539, 0.1096085778056432]","[7, 4, 62]"
"[92, 53, 463]","[0.11218714291520127, 0.08688026530156073, 0.13421239154822387]","[7, 4, 62]"
"[92, 53, 464]","[0.05338558845977195, 0.10380614857184281, 0.15007791416407276]","[7, 4, 62]"
"[92, 53, 465]","[0.0776892344844606, 0.1103469103849569, 0.11139583762686153]","[7, 4, 62]"
"[92, 53, 466]","[0.09377154808466462, 0.17626761769324947, 0.11983638078176412]","[7, 4, 62]"
"[92, 54, 466]","[0.07005617097829668, 0.053825116863232936, 0.10963974704113166]","[7, 5, 62]"
"[92, 54, 467]","[0.10556831984556096, 0.12012607240474306, 0.1087673494959611]","[7, 5, 62]"
"[92, 55, 467]","[0.05022518619219414, 0.10384210150251787, 0.12785153566688548]","[7, 5, 62]"
"[92, 55, 468]","[0.07746571939047553, 0.23578147663151056, 0.11709255340171641]","[7, 5, 62]"
"[92, 56, 468]","[0.07359360241194379, 0.03961215597207025, 0.11373030963029584]","[7, 5, 62]"
"[92, 56, 469]","[0.08646495472959109, 0.08184985514776372, 0.14325762474244882]","[7, 5, 62]"
"[92, 56, 470]","[0.05758718786562302, 0.09721858317362693, 0.107019455676845]","[7, 5, 62]"
"[92, 56, 471]","[0.061823488736343885, 0.08185759193138543, 0.11609289059253923]","[7, 5, 63]"
"[92, 56, 472]","[0.04863735510693154, 0.07209174186307776, 0.11134432341384769]","[7, 5, 63]"
"[92, 56, 473]","[0.15457309758453344, 0.12066846726935379, 0.09310715605870948]","[7, 5, 63]"
"[93, 56, 473]","[0.04839012100796942, 0.11728329143544572, 0.12533379289439556]","[7, 5, 63]"
"[93, 56, 474]","[0.05215498924309096, 0.04761908863999101, 0.11624856331561517]","[7, 5, 63]"
"[93, 56, 475]","[0.05583121447230898, 0.12236210551029142, 0.10981476812942369]","[7, 5, 64]"
"[93, 57, 475]","[0.06831520721293474, 0.11310600752879614, 0.13596660433497837]","[7, 5, 64]"
"[93, 57, 476]","[0.027188506614405503, 0.05699574797646775, 0.10868709473577638]","[7, 5, 64]"
"[93, 57, 477]","[0.04304238860587664, 0.1276167050781399, 0.12484351601912361]","[7, 5, 64]"
"[93, 58, 477]","[0.10007905704118222, 0.06690258176446891, 0.13382094562557292]","[7, 5, 64]"
"[93, 58, 478]","[0.06516619213116279, 0.03144082136614803, 0.12570298900449195]","[7, 5, 64]"
"[93, 58, 479]","[0.044949330791934965, 0.11421266979897118, 0.11913654893595406]","[7, 5, 64]"
"[93, 58, 480]","[0.08354204510621008, 0.06803843252223565, 0.11585876736474673]","[7, 5, 64]"
"[93, 58, 481]","[0.049823857377844845, 0.05845897061448984, 0.10888800967905729]","[7, 5, 64]"
"[93, 58, 482]","[0.08836689893092577, 0.09650372497395598, 0.12303112078346401]","[7, 5, 64]"
"[93, 58, 483]","[0.04906965478506283, 0.036214759794637154, 0.12071223011415985]","[7, 5, 64]"
"[93, 58, 484]","[0.10458817457569908, 0.057242560211494355, 0.13198126657911527]","[7, 5, 64]"
"[93, 58, 485]","[0.09417317006435312, 0.05264535540743294, 0.13289811850902922]","[7, 5, 64]"
"[93, 58, 486]","[0.062310212163181014, 0.06796580548352908, 0.1120834562316896]","[7, 5, 64]"
"[93, 58, 487]","[0.07554145324580469, 0.05828695468292608, 0.10590331554667021]","[7, 5, 64]"
"[93, 58, 488]","[0.03877904028359705, 0.06939562055058718, 0.11174243817694618]","[7, 5, 64]"
"[93, 58, 489]","[0.10237540046900927, 0.126973406508749, 0.10964294200096401]","[7, 5, 64]"
"[93, 59, 489]","[0.050080833791419026, 0.10018091106348881, 0.13297147008678725]","[7, 5, 64]"
"[93, 59, 490]","[0.07761752995491504, 0.07616493746664561, 0.13404191193824808]","[7, 5, 64]"
"[93, 59, 491]","[0.08164065461916317, 0.07668095202627218, 0.13386347990102518]","[7, 5, 64]"
"[93, 59, 492]","[0.05081569111440565, 0.060110128268104995, 0.14014918626607792]","[7, 5, 64]"
"[93, 59, 493]","[0.04904344993448606, 0.14799204518445921, 0.1210784376221653]","[7, 5, 64]"
"[93, 60, 493]","[0.09158953586455987, 0.07647560317056633, 0.13762258693519527]","[7, 5, 64]"
"[93, 60, 494]","[0.0552270799009801, 0.10186954862374918, 0.11468545767875672]","[7, 5, 65]"
"[93, 60, 495]","[0.12993691694815315, 0.17692133233077117, 0.12158622745614565]","[7, 5, 66]"
"[93, 61, 495]","[0.10781668001144694, 0.09929755160529381, 0.10304964575469266]","[7, 5, 66]"
"[94, 61, 495]","[0.10203974394510282, 0.05542492982926538, 0.11908353566105588]","[7, 5, 66]"
"[94, 61, 496]","[0.0851017043260507, 0.060451860154637195, 0.1250170981511958]","[7, 5, 66]"
"[94, 61, 497]","[0.09824213012415875, 0.10987784546461796, 0.11653764569795771]","[7, 5, 66]"
"[94, 61, 498]","[0.05398563027608904, 0.04001174829827022, 0.10524545917871919]","[7, 5, 66]"
"[94, 61, 499]","[0.04307986883894821, 0.04310961041247877, 0.12210191071442406]","[7, 5, 66]"
"[94, 61, 500]","[0.08162848142296872, 0.06493172030704136, 0.12576344163769024]","[7, 5, 66]"
"[94, 61, 501]","[0.047155834200898715, 0.05596204413051891, 0.1109286256884964]","[7, 5, 66]"
"[94, 61, 502]","[0.05342756611977711, 0.05396831078045296, 0.11858791054003295]","[7, 5, 66]"
"[94, 61, 503]","[0.040991074096105036, 0.11525006783897503, 0.10170569890901002]","[7, 5, 66]"
"[94, 62, 503]","[0.07263611379308539, 0.0934070160035588, 0.1139374519539309]","[7, 6, 66]"
"[94, 62, 504]","[0.05409356164919661, 0.0743571083078726, 0.13103795554874695]","[7, 6, 67]"
"[94, 62, 505]","[0.0786805963837539, 0.17403170500586432, 0.12545304733395]","[7, 6, 68]"
"[94, 63, 505]","[0.07306619278411401, 0.12152717993475932, 0.10537022505584974]","[7, 6, 68]"
"[94, 64, 505]","[0.12174047104498102, 0.11544611456627837, 0.12681075486309287]","[7, 6, 68]"
"[94, 64, 506]","[0.03363787827956688, 0.06565741360784887, 0.11688618424983546]","[7, 6, 69]"
"[94, 64, 507]","[0.08167285904075963, 0.1150109903002722, 0.1515488579503232]","[7, 6, 69]"
"[94, 64, 508]","[0.06008694655158271, 0.059322242605296935, 0.07858284290706787]","[7, 6, 69]"
"[94, 64, 509]","[0.04838273003311292, 0.06318689430398972, 0.10553451843106056]","[7, 6, 69]"
"[94, 64, 510]","[0.05360590598558446, 0.12083176565407033, 0.12304779284530744]","[7, 6, 69]"
"[94, 64, 511]","[0.08713378850915014, 0.06306202908012135, 0.09735640020775353]","[7, 6, 70]"
"[94, 64, 512]","[0.11787024861693175, 0.07840403756643659, 0.10147476667752289]","[7, 6, 70]"
"[95, 64, 512]","[0.11291699396505686, 0.09224199456086393, 0.08686982506489982]","[7, 6, 70]"
"[96, 64, 512]","[0.07548985194790452, 0.13842126753423634, 0.12443717067190706]","[7, 6, 70]"
"[96, 65, 512]","[0.09433242581383795, 0.08019569019125604, 0.1021059559174761]","[7, 6, 70]"
"[96, 65, 513]","[0.0666623804554339, 0.1273473129362073, 0.11691027128281109]","[7, 6, 71]"
"[96, 66, 513]","[0.08172862303879908, 0.055602045691496634, 0.1335239019419461]","[7, 6, 71]"
"[96, 66, 514]","[0.05159413648471585, 0.10623134707180784, 0.13879308797043316]","[7, 6, 71]"
"[96, 66, 515]","[0.06364673799709052, 0.1170391265994518, 0.1327864694976827]","[7, 6, 71]"
"[96, 66, 516]","[0.08374365444988757, 0.10744686248427236, 0.1358465554082165]","[7, 6, 71]"
"[96, 66, 517]","[0.10332552804729993, 0.10475565515098667, 0.10262044731708768]","[7, 6, 71]"
"[96, 67, 517]","[0.09749156645900527, 0.09948402801970362, 0.14030755338607354]","[7, 6, 71]"
"[96, 67, 518]","[0.03050855340993128, 0.09980504282126343, 0.12845516502265614]","[7, 6, 71]"
"[96, 67, 519]","[0.07607579225699723, 0.14483364451715028, 0.13107634675120006]","[7, 6, 72]"
"[96, 68, 519]","[0.09111652515737002, 0.1583957191906095, 0.11290376464787483]","[7, 6, 72]"
"[96, 69, 519]","[0.09761691710674782, 0.1444482017082809, 0.16137557138420852]","[7, 6, 72]"
"[96, 69, 520]","[0.059593212153747, 0.1279631991107041, 0.10601490177347106]","[7, 6, 73]"
"[96, 70, 520]","[0.06849550439037111, 0.09158054519083585, 0.11564530515772]","[7, 6, 73]"
"[96, 70, 521]","[0.10105252880373622, 0.11388094058907387, 0.1510995246396059]","[7, 6, 73]"
"[96, 70, 522]","[0.10476784088980481, 0.06694033474882416, 0.10440551561511717]","[7, 6, 73]"
"[97, 70, 522]","[0.050456823841021584, 0.1090529378023149, 0.12674450479837396]","[7, 6, 73]"
"[97, 70, 523]","[0.07813350497298947, 0.059132961877832436, 0.12846711944061662]","[7, 6, 73]"
"[97, 70, 524]","[0.11983445341818891, 0.09958865529489949, 0.11299996527202857]","[7, 6, 74]"
"[98, 70, 524]","[0.0954348085061366, 0.07572668213567085, 0.11562007058304288]","[7, 6, 74]"
"[98, 70, 525]","[0.022742259906822725, 0.07411807836096522, 0.13054932622209514]","[7, 6, 74]"
"[98, 70, 526]","[0.11105834771185916, 0.12457177486104969, 0.10363010556709172]","[7, 6, 74]"
"[98, 71, 526]","[0.06458550688600298, 0.19905115550797678, 0.12662455832249708]","[7, 6, 74]"
"[98, 72, 526]","[0.03650337384279085, 0.10724991205048677, 0.11637926162913054]","[7, 6, 74]"
"[98, 72, 527]","[0.0773506253625734, 0.07334515572004073, 0.11967495123919036]","[7, 6, 74]"
"[98, 72, 528]","[0.06830704482121477, 0.048096925245723565, 0.13411649851974422]","[7, 6, 75]"
"[98, 72, 529]","[0.07540209078104385, 0.08417688379734, 0.13029460983183852]","[7, 6, 75]"
"[98, 72, 530]","[0.048646389273796914, 0.044882261257255175, 0.14108252474345806]","[7, 6, 75]"
"[98, 72, 531]","[0.08247629831098051, 0.05176620001200161, 0.12300346790546102]","[7, 6, 75]"
"[98, 72, 532]","[0.04629434419851427, 0.04338467826425495, 0.13181872532957797]","[7, 6, 76]"
"[98, 72, 533]","[0.10317036071381279, 0.0763361507603012, 0.13138540171294447]","[7, 6, 76]"
"[98, 72, 534]","[0.04695546421528584, 0.09637803489034809, 0.12407949015429394]","[7, 6, 76]"
"[98, 72, 535]","[0.08489417922209799, 0.049883854515621516, 0.13310938818180867]","[7, 6, 76]"
"[98, 72, 536]","[0.05645317289755408, 0.04663360069454799, 0.12289919866601895]","[7, 6, 76]"
"[98, 72, 537]","[0.09187080485889274, 0.08910603553493035, 0.13068588577095472]","[7, 6, 76]"
"[98, 72, 538]","[0.07755390665139182, 0.05117050251499996, 0.14238373555688041]","[7, 6, 77]"
"[98, 72, 539]","[0.0914266416568266, 0.10698901245882997, 0.1254654966292182]","[7, 6, 77]"
"[98, 72, 540]","[0.04481878772362648, 0.04302336757538807, 0.1399835787963807]","[7, 6, 77]"
"[98, 72, 541]","[0.07397092374918844, 0.08594290292974338, 0.12660990627379548]","[7, 6, 77]"
"[98, 72, 542]","[0.09043621792792843, 0.06674948513405995, 0.12633373815810311]","[7, 6, 77]"
"[98, 72, 543]","[0.04525962474088896, 0.12335099886173215, 0.126832449431709]","[7, 6, 78]"
"[98, 72, 544]","[0.04206574152220299, 0.06762768133875147, 0.13024589993845054]","[7, 6, 78]"
"[98, 72, 545]","[0.07389372668755002, 0.11097896091144592, 0.11442521125857857]","[7, 6, 79]"
"[98, 72, 546]","[0.0897654610465428, 0.09315936574691876, 0.12673790711746943]","[7, 6, 79]"
"[98, 72, 547]","[0.04123347102764201, 0.05600300150140926, 0.13773351278507406]","[7, 6, 79]"
"[98, 72, 548]","[0.07037421461228546, 0.0892860847988744, 0.12109469774028388]","[7, 6, 79]"
"[98, 72, 549]","[0.06847134363805127, 0.12028913829888614, 0.12403272397452439]","[7, 6, 79]"
"[98, 72, 550]","[0.09472796332209216, 0.0567625737443499, 0.13806646711946272]","[7, 6, 79]"
"[98, 72, 551]","[0.06156669152255225, 0.05345080912239373, 0.12263824337888307]","[7, 6, 79]"
"[98, 72, 552]","[0.11585343362528865, 0.0909942586996585, 0.13378960241004184]","[7, 6, 79]"
"[98, 72, 553]","[0.07307494819098909, 0.1501112396648937, 0.13343103384608082]","[7, 6, 80]"
"[98, 73, 553]","[0.1344183071860924, 0.07384618853618258, 0.1337811044334833]","[7, 7, 80]"
"[99, 73, 553]","[0.03383780541767425, 0.05036530929146947, 0.12388908866887814]","[7, 7, 80]"
"[99, 73, 554]","[0.10445409026354302, 0.0732407928383049, 0.131576584996093]","[7, 7, 81]"
"[99, 73, 555]","[0.07434908373323877, 0.08617085444284207, 0.1398317917445307]","[7, 7, 81]"
"[99, 73, 556]","[0.10284728208028011, 0.148165668999215, 0.14494444948404903]","[7, 7, 81]"
"[99, 74, 556]","[0.052481568365432024, 0.09677461793497573, 0.14462379626427366]","[7, 7, 81]"
"[99, 74, 557]","[0.05566391133403647, 0.08296349114637468, 0.11026720460122508]","[7, 7, 81]"
"[99, 74, 558]","[0.05689682874402674, 0.07844192196451791, 0.12758307883257208]","[7, 7, 82]"
"[99, 74, 559]","[0.06696576613825242, 0.12738267878914727, 0.14648729347844078]","[7, 7, 82]"
"[99, 74, 560]","[0.03812046340761344, 0.11026618289431381, 0.11830953538785974]","[7, 7, 82]"
"[99, 74, 561]","[0.0537982295430205, 0.08753144004757975, 0.13179415638334024]","[7, 7, 82]"
"[99, 74, 562]","[0.09760979711294779, 0.06900713065125208, 0.13115028359024106]","[7, 7, 82]"
"[99, 74, 563]","[0.028337766822371237, 0.08046288277364293, 0.1560141143697027]","[7, 7, 83]"
"[99, 74, 564]","[0.08751561623092231, 0.11241713871053428, 0.15899504670378972]","[7, 7, 83]"
"[99, 74, 565]","[0.12690261082666032, 0.06650836366321719, 0.11526645186540826]","[7, 7, 83]"
"[100, 74, 565]","[0.046856414916030084, 0.08769209790643322, 0.13446683470833065]","[7, 7, 83]"
"[100, 74, 566]","[0.09461922658338348, 0.1394495130883887, 0.12521032664200737]","[7, 7, 83]"
"[100, 75, 566]","[0.09801275829190874, 0.07568259438936635, 0.1255333077184022]","[7, 8, 83]"
"[100, 75, 567]","[0.0954484291453301, 0.08230081512810324, 0.13970289163360777]","[7, 8, 83]"
"[100, 75, 568]","[0.06470279248855074, 0.09877628772059588, 0.13117569502794282]","[7, 8, 83]"
"[100, 75, 569]","[0.1049604180751362, 0.0980152677837247, 0.11886928603013534]","[7, 8, 84]"
"[100, 75, 570]","[0.0409424124771194, 0.13791511641413692, 0.1431253573222447]","[7, 8, 84]"
"[100, 75, 571]","[0.07313708965852243, 0.15441636697283775, 0.1237533350369756]","[7, 8, 84]"
"[100, 76, 571]","[0.03868494199409149, 0.11923859477350424, 0.14078090505256516]","[7, 9, 84]"
"[100, 76, 572]","[0.08274662440738927, 0.12463352536332273, 0.1368316992997335]","[7, 9, 84]"
"[100, 76, 573]","[0.05838670293084752, 0.15269063665326918, 0.1202022265810656]","[7, 9, 84]"
"[100, 77, 573]","[0.09227368177387435, 0.10461155561760842, 0.13294029105599753]","[7, 10, 84]"
"[100, 77, 574]","[0.08366929162724868, 0.11673710510359721, 0.13008574397078906]","[7, 10, 84]"
"[100, 77, 575]","[0.07731380329260618, 0.0827421340825205, 0.12860837334897293]","[7, 10, 84]"
"[100, 77, 576]","[0.029874469171203778, 0.10146010357203024, 0.1327913019497434]","[7, 10, 84]"
"[100, 77, 577]","[0.062179582789185645, 0.12285210882094683, 0.10540504449939879]","[7, 10, 84]"
